PATIENT_ID,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE
a708bca4-8fc9-4567-8c22-8b13d44f4f45,1944-04-14,,999-15-8652,S99921582,X34884231X,Mr.,Weldon459,Effertz744,,,M,black,nonhispanic,M,Boston  Massachusetts  US,356 Kuhn Grove Suite 62,Quincy,Massachusetts,Norfolk County,,42.253664973970125,-70.99176140007702,1632370.21,62305.47
cecb7ece-fb70-4a7f-b51d-6e8dd1506ad9,1951-01-06,,999-46-3183,S99985435,X55197518X,Mr.,Isiah14,Fritsch593,,,S,white,nonhispanic,M,Gardner  Massachusetts  US,690 Stark Vista,Leyden,Massachusetts,Franklin County,,42.74080679992751,-72.66558015387287,1484346.13,173242.53999999998
3f336702-bf73-4fc8-bd59-3ba77fd65d0d,1923-06-22,,999-78-2157,S99989588,X49144043X,Mr.,Sanford861,Fritsch593,,,S,white,nonhispanic,M,Cohasset  Massachusetts  US,935 Rempel Trail,Brookline,Massachusetts,Norfolk County,,42.39030121865419,-71.17204863405945,1689533.55,612223.8700000008
59cf17d9-6c13-4333-a1cb-cc5fdf63366d,1942-05-23,1995-10-14,999-57-6627,S99937160,X78979879X,Mr.,Teddy976,Cremin516,,,M,native,nonhispanic,M,Boston  Massachusetts  US,795 Rogahn Parade Unit 42,Chatham,Massachusetts,Barnstable County,,41.71151628463053,-69.96141684792273,202930.59,294189.1000000001
13a3a783-ecc5-4ec5-b3dc-168b15cebb88,1951-07-20,,999-60-3722,S99940623,X478753X,Mr.,Mohammad578,Nikolaus26,,,S,white,nonhispanic,M,Berkley  Massachusetts  US,837 Sporer Throughway Apt 92,Chicopee,Massachusetts,Hampden County,1013.0,42.20014766682957,-72.56330698713761,1471673.69,142028.33999999997
80427c8e-15ba-482f-b168-fc4f1d375179,1935-11-29,,999-62-4581,S99973001,X63807132X,Mr.,Luigi346,Schultz619,,,M,white,nonhispanic,M,Boston  Massachusetts  US,167 Jast Throughway Unit 86,Brockton,Massachusetts,Plymouth County,2301.0,42.07091418558398,-71.0110333877047,194269.66,21424.72
fd3acd35-add1-4634-8c90-68ed0f638fde,1950-09-24,2013-10-19,999-26-3210,S99999593,X26670740X,Mr.,Wilber603,Schinner682,,,S,white,nonhispanic,M,Concord  Massachusetts  US,378 Terry Mews,Lynn,Massachusetts,Essex County,1905.0,42.544257693542974,-71.05782819690347,1382144.64,21562.719999999987
cae10920-f977-48b4-a0d3-4d70ad561fd1,1913-05-30,2009-05-02,999-57-1891,S99957329,X15599474X,Mr.,Logan497,Brekke496,,,S,black,nonhispanic,M,Boston  Massachusetts  US,1081 Orn Street,Boston,Massachusetts,Suffolk County,2128.0,42.36692593602721,-71.1015506038383,1901642.45,927873.5300000022
137acc1b-dbca-473e-84bb-fe1baaf98819,1911-11-19,1975-11-03,999-95-7671,S99921833,X86727830X,Mr.,Boyd728,Beahan375,,,M,white,nonhispanic,M,Yarmouth  Massachusetts  US,698 Lehner Light,West Tisbury,Massachusetts,Dukes County,,41.355370492047946,-70.6248672898332,1421445.21,89824.56999999999
6ec18ddf-e9ee-421a-9033-456f558c7b4b,1937-02-10,2005-03-23,999-64-1707,S99992234,X37721263X,Mr.,Stanley702,Douglas31,,,M,white,nonhispanic,M,Lowell  Massachusetts  US,151 Braun Parade,Franklin,Massachusetts,Norfolk County,2038.0,42.12857183141615,-71.38608440185907,1787711.83,201472.46000000017
714b9c18-783d-4f52-aa64-cc3a05a286d9,1946-01-22,,999-50-7241,S99934122,X12849695X,Mr.,Noble66,Sipes176,,,M,white,nonhispanic,M,Taunton  Massachusetts  US,1050 Rogahn Path,Fitchburg,Massachusetts,Worcester County,,42.60395994089129,-71.78317444492932,1515232.4700000002,47818.53999999999
3dd2dd29-7cd0-48f7-b859-136c6e9d36e0,1920-05-01,,999-23-3991,S99991859,X89024274X,Mr.,Ira784,Tremblay80,,,M,black,nonhispanic,M,Boston  Massachusetts  US,875 Waelchi Highlands,Boston,Massachusetts,Suffolk County,2126.0,42.3198138916658,-71.1660515154717,451176.88,89364.63
2c71dd97-7085-416a-aa07-d675bbe3adf2,1941-02-14,,999-71-5683,S99975437,X28611999X,Ms.,Samatha845,Mueller846,,,S,black,nonhispanic,F,Lenox  Massachusetts  US,531 Collier Wynd,Hanover,Massachusetts,Plymouth County,,42.130044476066935,-70.8604682515196,1694231.7100000002,145918.87999999998
3acf9313-1874-4dff-ab2a-3187516d92d6,1917-05-07,2018-01-23,999-65-1055,S99959799,X82842351X,Mr.,Earle679,Frami345,,,M,white,nonhispanic,M,Fitchburg  Massachusetts  US,208 Kilback Center Unit 20,Newburyport,Massachusetts,Essex County,1950.0,42.79109175798136,-70.84877305499495,1845466.08,264512.9699999999
19d2cfb8-439b-454a-b47e-5274c219005b,1914-09-06,1977-03-19,999-53-9263,S99970062,X24834738X,Mr.,Walker122,Kuhic920,,,S,white,nonhispanic,M,Hingham  Massachusetts  US,524 Brekke Dale Suite 9,Worcester,Massachusetts,Worcester County,,42.249428031452375,-71.73338511915946,2145924.400000002,3559.68
